Item_ID,Item_Name,Construct,Question,Response_Options,Assessment_Level,Yes_Criteria,No_Criteria,Partly_Criteria,Unclear_Criteria,Music_Examples,Common_Pitfalls
6X,Ethical Compliance,QoR,Did the study report compliance with animal-welfare regulations?,Yes; Partly; No,Study-level,"Ethics/animal-care approval explicitly reported: ""IACUC approved, protocol #12345"" OR ""Approved by animal care committee per [guideline].""",No mention of ethical approval or animal welfare compliance.,General welfare statement without specific committee approval or protocol number.,N/A,"Yes: ""Approved by University IACUC (protocol #00001234)"" OR ""Approved by the institutional animal ethics committee."" Partly: ""Performed in compliance with SBNeC / the NIH Guide for the Care and Use of Laboratory Animals"" - names a guideline/society but NO committee approval; OR ""conducted ethically and humanely."" No: No ethics or welfare statement anywhere.","DECISION RULE: Yes requires a stated APPROVAL by an ethics/animal-care committee (named body or protocol number). Naming a guideline or society compliance WITHOUT a committee approval = Partly. Vague ""humanely"" = Partly. Nothing = No. (Absence does not always mean the work was unethical, but code on what is reported.)"
7X,Blinding: Reporting,QoR,"Does the report describe blinding in any phase (intervention delivery, outcome assessment, analysis)?",Yes; Partly; No,Study-level,"Explicitly states WHO blinded (assessor, analyst), WHEN (intervention, outcome, analysis), and to WHICH condition (music vs. control).",No mention of blinding in any phase.,"Blinding mentioned unqualified (""blinded analysis"") with limited detail about who, when, or how.",N/A,"Yes: ""Assessors blinded to group during testing. Analysts blind to treatment during statistics."" OR ""Automated recording prevented experimenter presence, preventing bias."" Partly: ""The study was blinded"" or ""Blinded analysis performed"" (no specifics). No: ""No blinding"" OR no mention.",Automated playback ≠ blinding by itself (assessor hears music). Live music delivery may make experimenter blinding infeasible. Prioritize assessor/analyst blinding for subjective outcomes.
7Z(1),Performance Bias: Experimenter Blinding,RoB,Were experimenters/handlers delivering music blinded to group assignment?,Yes; No; Unclear; NA,Study-level,"Procedures prevented handlers knowing assignment: pre-recorded/automated delivery (tech cannot hear), cages A/B only (no labels), or independent personnel delivered stimulus.","Experimenter unblinded and could influence outcomes through differential handling, stress, or attention.",N/A,Not reported whether blinding attempted or achieved.,"Yes: ""Pre-recorded music/silence via automated systems; tech unaware which played."" OR ""Cages labeled A/B only, no treatment visible to handlers."" No: ""Experimenter selected music daily while observing behavior."" Unclear: paper says nothing about who delivered music or whether handling was blinded. NA: authors explicitly state delivery-blinding was infeasible AND an automated system delivered the stimulus with identical handling of both groups.","DECISION RULE: if the paper is SILENT on intervention/handler blinding, default to Unclear (not No, not NA). Score No only when an unblinded handler plausibly delivered differential handling/attention. Use NA only when authors explicitly justify infeasibility. Audibility alone does not force NA."
7Z(2),Detection Bias: Assessor Blinding,RoB,Were outcome assessors blinded to group assignment?,Yes; No; Unclear; NA,Study-level,"Assessors/coders/analysts blinded to assignment during assessment. Video-coded with A/B cage labels only (not treatment), or data masked before analysis.","Assessor unblinded and outcome is judgment-sensitive (anxiety, depression scoring based on behavioral interpretation).",N/A,Not reported whether assessors were blinded or how maintained.,"Yes: ""Behavior videos coded by independent raters blind to assignment (cages A/B only)."" OR ""Group labels masked before analysis (Group 1/2 only)."" No: ""Experimenter scored anxiety knowing group assignment."" OR ""Behavior rated real-time by present experimenter."" Unclear: ""Videos coded"" - no mention of assessor blinding.","Objective outcomes (distance, weight) may not need blinding; judgment-sensitive (anxiety, depression) DO. Automated tracking ≠ blinding unless data masked before analysis. A/B video labeling effectively blinds."
8X,Methods-Results Alignment,QoR,"Are reported methods and results coherent, transparent, and aligned?",Yes; Partly; No,Study-level,"Outcomes, group labels, n, timing, and statistical analyses match between Methods and Results. Results traceable to Methods. Primary outcomes in Methods appear in Results.","Major mismatches, outcome switching, unreported contrasts, or untraceable results.","Minor discrepancies, but primary comparison interpretable. E.g., Methods list anxiety/depression; Results report only anxiety.",N/A,"Yes: ""Methods: anxiety/depression via EZM/FST. Results: Table 1 shows both EZM/FST for music vs. control with matching n and timing."" Partly: ""Methods mention anxiety/depression; Results report only anxiety."" No: ""Results text says 42 rats but the flow diagram shows 39 included"" (internal n contradiction) OR ""title says Mozart K488 but Methods say K448"" combined with other mismatches.","CROSS-CHECK RULE: compare the n in the FLOW DIAGRAM / figures / tables against the n stated in the text - internal numerical contradictions (e.g., 42 vs 39) are a real misalignment. Also check title vs Methods (stimulus code typos). Check outcome switching, unreported groups, timing changes. Minor formatting != No; multiple/contradictory n or dropped outcomes = Partly or No."
8Z(1),Attrition Bias: Incomplete Data,RoB,"Were outcome data complete, with exclusions/attrition adequately handled?",Yes; No; Unclear,Study-level,"Numbers allocated, analyzed, excluded/lost reported clearly by group with reasons for attrition. OR all allocated animals contributed data (zero attrition).","Missing/excluded animals unequal across groups, outcome-related, or inadequately explained.",N/A,Denominators and exclusion reasons insufficiently reported.,"Yes: ""24 allocated (12 music, 12 control). 1 control died (gavage failure). 23 analyzed."" OR ""Sixty rats allocated, ten per subgroup; figures show n=10 per group"" - allocation n stated and matches analysis n, no exclusions. No: ""9 music, 15 control analyzed"" (allocation never stated). OR ""Anxiety >5 SD excluded; more in control, not justified."" Unclear: figure ns shown but total allocated never stated, so completeness cannot be confirmed.","DECISION RULE: if allocation n IS stated and matches the analysis n shown in figures/tables with no exclusions mentioned, score Yes (zero attrition implied). If allocation n is NEVER stated so you cannot confirm everyone was analyzed, score Unclear. Natural attrition (death, technical failure) reported equally is NOT bias. Flag outcome-dependent exclusion."
8Z(2),Reporting Bias: Selective Outcomes,RoB,Were all pre-specified or expected outcomes fully reported?,Yes; No; Unclear,Study-level,"Pre-registration available and matches publication. OR Methods lists outcomes, Results reports all with group statistics.","Key outcome in Methods missing from Results, OR outcome switching evident, OR selective reporting of favorable results.",N/A,No pre-registration and Methods does not clearly pre-specify outcomes - cannot verify against Results.,"Yes: ""Pre-registered OSF. Methods/Results both report anxiety/depression for all groups."" OR ""Methods: Primary=anxiety (EZM). Secondary=depression (FST), activity (OFT). Results: all three reported with contrasts."" No: ""Methods list SPT and FST; Results state FST could not be analysed due to technical problems and report only SPT"" (outcome measured but dropped) OR ""Methods emphasize anxiety/depression; Results report only anxiety."" Unclear: ""No pre-registration; Methods does not pre-specify outcomes - cannot verify.""","DECISION RULE: no pre-registration but Methods explicitly enumerates the outcome measures and Results reports ALL of them with group-level stats = Yes. An outcome that was MEASURED but then dropped/unreported (even with a stated reason like ""technical problems"") counts against full reporting = No (note the disclosure in the justification). Use Unclear only when Methods does not clearly enumerate outcomes. Absence of pre-registration alone NEVER forces Unclear or No. Non-significant outcomes must be reported as NS, not omitted."
9X,Discussion: Limitations,QoR,Did authors acknowledge relevant study limitations?,Yes; Partly; No,Study-level,"Substantive limitations discussed and linked to experiment, model, measures, or design. Examples: single music genre, small n, only males, limited time window.",No limitations section or discussion.,"Generic or brief statement without substantive connection. E.g., ""This study has some limitations.""",N/A,"Yes: ""Limitations: (1) single genre - may not generalize; (2) small n (12/group) - reduced secondary power; (3) only males; (4) 2-week exposure - chronic effects unknown."" Partly: ""This study had limitations"" OR ""Small sample size"" (no implications explained). No: Discussion contains only future-directions (""there is a need to conduct more studies"") and no acknowledgment of THIS study's weaknesses.","DECISION RULE: future-directions statements (""more studies are needed"", ""further research should..."") are NOT limitations - if the Discussion has only these and no specific weakness of the present study, score No. Substantive = linked to this study's design/measures/interpretability. Author humility / calls for replication != genuine limitations."
10X,Conflict-of-Interest Statement,QoR,Did the paper include a conflict-of-interest/competing-interests declaration?,Yes; No,Study-level,Formal statement present: authors declare no conflicts OR disclose specific conflicts.,No COI statement in paper or supplementary materials.,,N/A,"Yes: ""The authors declare no competing financial interests."" OR ""Author A: employed by Music Therapy Inc. Others: no conflicts."" No: No COI statement found.","""No conflicts"" declaration = Yes. Absence of statement ≠ implies conflict, only lack of transparency. Some journals require, others do not. Code based on statement presence."
10Z,Other Bias: Funder Influence,RoB,Was the study free from inappropriate funder/commercial influence?,Yes; No; Unclear,Study-level,"No relevant conflict declared AND no evidence that funder/company with interest controlled design, conduct, or reporting. Academic/government funding is NOT a bias signal.","Funder/company with interest funded study AND controlled/influenced design, conduct, reporting. OR conflict undeclared.",N/A,Funding source or funder role insufficiently reported.,"Yes: ""Funded by NIH (R01-MH12345). No music companies involved."" OR ""Funded by university internal funds; no external sponsor role in design/analysis."" No: ""Funded by MusicalMind Inc. (makes therapy devices). Company provided stimulus and reviewed manuscript."" OR ""Undeclared: corresponding author is CEO of music therapy startup."" Unclear: ""Supported by grants"" - no agency specified.","Academic/public funding (NIH, NSF, university) ≠ bias by itself. Flag only when commercial entity with financial stake appears to control key decisions. Undeclared = No. Industry-sponsored ≠ automatically No, but increased scrutiny warranted."
