study_id,exposure_unit,exposure_unit_evidence,exposure_unit_page,exposure_unit_confidence,behavioral_measurement_unit,behavioral_unit_evidence,behavioral_unit_page,behavioral_unit_confidence,statistical_unit,statistical_unit_evidence,statistical_unit_page,statistical_unit_confidence,animals_per_cage,cages_per_condition,delivery_level(cage_or_room),separate_rooms_treatment_vs_control,cage_or_room_randomized,concurrent_exposure_during_testing,housing_structure_evidence,housing_structure_page,pseudoreplication_flag,pseudoreplication_rationale,pseudoreplication_page,working_hypothesis_check (holds/partially holds/contradicted/not applicable/unclear),notes
"Li2010","cage","Quote: ""Music or white noise was played from 18:00 to 24:00 for 6 hours during the active time of the mice... The distance between mice cage and sound box was kept in 1 m.""","6","medium","individual animal","Quote: ""Mice were individually placed in the center of the open field and left to explore freely for 10 min.""","7","high","individuals analyzed as independent units","Quote: ""Data were analyzed with Student's t test or one-way analysis of variance (ANOVA) followed by Fisher's LSD post hoc comparisons""; n=6-9 (behavior) or n=4-5 (molecular) per group, no cage term.","2,7","high","not explicitly stated - unclear","not explicitly stated - unclear","cage","not stated - unclear","not stated - unclear","no - Quote: ""All experiments were carried out in a quiet environment to avoid other voice added"" after the 3-week exposure period concluded, with testing occurring after exposure ended.","Adult wild-type, BDNFMet/Met, and BDNF+/- mice exposed to music or white noise daily for 3 weeks (18:00-24:00, 6h/day) in the home cage, with a sound box kept 1m from the mice's cage; behavioral testing performed afterward in a quiet environment without concurrent sound.","6-7","potential cage-level pseudoreplication","Sound was delivered via a single sound box positioned near ""the cage"" rather than to each animal individually, and the one-way ANOVA/t-tests treated n=6-9 mice per group as independent without any cage-level term, though exact cage occupancy is not stated, limiting confidence.","6-7","holds","Music was delivered as a chronic home-cage exposure (not during testing), and behavioral testing was explicitly conducted afterward in a quiet environment without concurrent sound, consistent with the home-cage (non-concurrent) part of the hypothesis."
"Milbratz2017","room","Quote: ""these animals were housed individually in opaque plastic cage...""; ""The rats of MG and CPMG groups were exposed to classical music for 5 hours/day... the music room had a sound level of 65-75 dB. The silent room where the animals of CG and CPG groups stayed had no music and its sound level was 50 dB.""","2-3","high","individual animal","Quote: ""all animals were individually subjected to the EPM and OF tests in a sound-isolated room.""","3","high","individuals analyzed as independent units","Quote: ""The determination of the differences between the experimental groups was performed using analysis of variance (ANOVA)... or Kruskal-Wallis test""; ""number of animals per group = 6"" (Table 2), no room-level term.","5,3","high","1 (""housed individually in opaque plastic cage"")","6 (one cage per animal, n=6/group, single-housed)","room","yes - explicit ""music room"" vs ""silent room""","not stated - unclear","no - Quote: ""all animals were individually subjected to the EPM and OF tests in a sound-isolated room"", a separate room from the music/silent housing rooms, on the last day after 15 days of exposure.","Rats singly housed (1/cage); MG and CPMG groups exposed to classical music 5h/day in a dedicated ""music room"" (65-75dB) while CG and CPG stayed in a separate ""silent room"" (50dB) for 15 days; behavioral testing performed individually afterward in a distinct sound-isolated room.","2-3","potential room-level pseudoreplication","Although rats were singly housed (removing cage-mate confounds), the 6 rats per music/silence condition shared one room-level acoustic environment simultaneously, yet ANOVA/Kruskal-Wallis analyses treated the 6 rats per group as independent with no room-level term.","3,5","holds","Music was delivered via a dedicated home-housing room (not during testing), and behavioral testing occurred afterward in a separate sound-isolated room, consistent with the home-cage/room (non-concurrent) part of the hypothesis."
"Niehues2011","room","Quote: ""The rats were exposed to music 24 hours before behavioral tests, and also during the tests... The silence room was exactly the same as the room in which music were played but here there was no sounds except for ambient noises.""; note this appears to conflict with a later statement that testing was conducted in ""a sound-isolated room"" (see notes).","2","medium","individual animal","Quote: ""The animals were submitted individually to the elevated plus-maze and open-field tests.""","2","high","individuals analyzed as independent units","Quote: ""analyzed statistically by analysis of variance (ANOVA) followed by the Newman-Keuls post hoc test""; ""Bars represent the mean of groups of 10 rats"" (Fig. 1-2 legends), no cage term.","2,4","high","5 (""housed in groups of five per opaque plastic cage"")","~2 per group (not explicitly stated; inferred from n=10/group at 5/cage)","room","yes - explicit ""silence room""/music room as distinct rooms","not stated - unclear","stated as yes in methods (""exposed to music 24 hours before behavioral tests, and also during the tests"") but this conflicts with the statement that ""all behavioral procedures were conducted... in a sound-isolated room"" - internally inconsistent, so treated as unclear overall.","Rats housed 5/cage; sub-chronic simvastatin plus music/silence room exposure for 4 weeks; the paper states music continued ""during the tests"" but separately states testing occurred in ""a sound-isolated room"", an apparent internal contradiction not resolved in the text.","2","potential room-level pseudoreplication","Music/silence was delivered at the room level to multiple cages of 5 rats per group (~2 cages = 10 rats/group), and the ANOVA treated the 10 animals per group as independent replicates with no cage or room term.","2","unclear","The paper contains an internal inconsistency: it states exposure continued ""during the tests"" but separately states testing was conducted in ""a sound-isolated room"" (implying no concurrent sound); this contradiction cannot be resolved from the text, so the working hypothesis check is marked unclear for this study."
"Pangemanan2024","room","Quote: ""Mozart music (K448) was delivered at a volume of 60-80 dB... positioned 30 cm from the cage, and all cages received equal exposure. A separate room was designated for groups without music exposure...""","1-2","medium","individual animal","Paraphrase: rats housed 2/cage but ""separation was maintained by a wire mesh"", implying individual-level monitoring of food/sucrose/water intake and body weight was possible despite shared caging; not explicitly stated as fully individual testing for all measures.","1","medium","individuals analyzed as independent units","Quote: ""distinctions between groups were evaluated either via ANOVA or the Kruskal-Wallis test""; body weight and SPT reported per rat with group n=7-9 (Table 1), no cage/room term.","1,3","high","2 (""two rats accommodated in each cage, and separation was maintained by a wire mesh"")","~3-4 per group (not explicitly stated; inferred from n=7-9/group at 2/cage)","cage and room (music delivered near each cage, but ""all cages received equal exposure"" within a room shared by music-assigned groups; non-music groups housed in a ""separate room"")","yes - explicit ""a separate room was designated for groups without music exposure""","not stated - unclear","unclear/ongoing - music was delivered nightly (6pm-6am) throughout the entire 21-day treatment period, which overlapped with the pre-treatment and 21-day post-treatment SPT/FST assessment days, but it is not explicitly stated that music played during the actual test administration itself.","Rats housed 2/cage (partitioned by wire mesh) in either a music room (Mozart K448, 60-80dB, speaker 30cm from cage, nightly 6pm-6am for 21 days) or a separate non-music room; SPT and FST assessed periodically during this 21-day period.","1-2","potential cage-level and room-level pseudoreplication","Rats were housed 2/cage and music-exposed groups' cages were together in one room receiving ""equal exposure"" from a shared source, yet statistical analyses (ANOVA/Kruskal-Wallis) treated n=7-9 rats per group as independent without any cage or room-level term.","1,3","partially holds","Music exposure was delivered at the room/cage level during the home-housing period (nightly, not tied to individual testing sessions), consistent with the home-cage part of the hypothesis, but the exposure ran continuously through the testing period so a clean separation from testing cannot be confirmed."
"Papadakakis2019","room","Quote: ""Two groups of rats...were exposed repeatedly for 12 h per day (20:30 h-08:30 h) to music from PND 21 to PND 76. The control groups were not exposed to any music but kept in a silence room with ambient noise.""","2","high","individual animal","Quote: ""the animals were submitted individually to the social approach task (SAT), elevated plus maze (EPM) test, and forced swimming test (FST).""","2","high","individuals analyzed as independent units","Quote: ""statistically analyzed using two-way analysis of variance (ANOVA), group (maternal separation or control) x treatment (Mozart's sonata or ambient noise)""; n=10-11 per subgroup, no litter or cage term despite MS/control conditions each derived from only 5 litters.","2","high","2-3 (""housed in same-sex and -experimental groups with 2-3 rats per cage"")","not explicitly stated (n=10-11/subgroup at 2-3/cage implies ~4-5 cages per subgroup); each condition (MS vs control) derived from only 5 litters","room","implied yes - explicit ""silence room"" referenced for controls, distinct from the music exposure condition","not stated - unclear","no - Quote: ""All behavioral procedures were conducted in a quiet room with controlled lighting"" (a separate room from exposure), and testing (PND81-90) occurred after music exposure ended (PND76), a 5-day gap with no music.","Rat pups (from 5 litters per condition) housed 2-3/cage from PND21; two groups exposed 12h/day to Mozart K.448 from PND21-76 while control groups stayed in a silence room with ambient noise; behavioral testing (PND81-90) conducted individually in a separate quiet room after exposure ended.","2","potential cage-level and litter-level pseudoreplication","Rats were housed 2-3/cage and each condition (MS or control) was drawn from only 5 litters, yet the two-way ANOVA treated n=10-11 rats per subgroup as fully independent, without any litter or cage-level term, despite likely litter-driven correlations in early-life stress response.","2","holds","Music exposure was delivered as a chronic room-level home-housing exposure (PND21-76), fully ending 5 days before behavioral testing began (PND81-90) in a separate quiet testing room, consistent with the home-cage/room, non-concurrent-testing part of the hypothesis."
"Ren2024","unclear","Quote: ""There were four groups of mice, with ten mice per group. Each of them was placed in identical chambers with similar treatments except that three groups were put under three distinct chronic sound stresses... The voice box is stuck to the top of the box about 0.25 m from the mice.""; ambiguous whether ""each of them"" refers to each mouse or each group sharing one chamber.","2","low","individual animal","Quote: ""each mouse was individually placed in an open chamber"" (Nest Building); standard individual OFT/EPM/TST/FST procedures also described.","3","medium","individuals analyzed as independent units","Quote: ""Student's t-test was used for analyzation of significant differences between two sets of data. The differences in multiple sets of data were analyzed through one-way ANOVA""; n=10 per group, no chamber/cage term.","4","medium","not explicitly stated - unclear whether the 10 mice per group were housed/exposed together in one chamber or individually","not explicitly stated - unclear","cage or room (unclear which; a single ""voice box""/sound source served ""the mice"" of a group)","not stated - unclear","not stated - unclear","no - Quote: ""TST and FST tests were conducted after sound exposure for one week"" and other behavioral tests likewise performed ""after sound exposure for one week"", indicating testing followed rather than overlapped with the daily 9am-12pm/2pm-5pm sound sessions.","Mice (n=10/group: WT, hip-hop, heavy metal, construction noise) exposed to 6h/day of their assigned sound for one week via a voice box ~0.25m from ""the mice""; housing arrangement (individual vs shared chamber) not clearly described; all behavioral tests performed after the one-week exposure period ended.","2-3","unclear","The text does not clearly specify whether the 10 mice per group were housed/exposed together in a shared chamber (raising cage/chamber-level pseudoreplication concerns) or individually exposed, so this cannot be classified with confidence; the one-way ANOVA/t-tests did treat n=10 mice as independent regardless.","2-3","partially holds","Sound exposure was not concurrent with behavioral testing (tests explicitly conducted after the one-week exposure period), consistent with the non-concurrent-testing part of the hypothesis, but the housing/exposure-unit ambiguity prevents full confirmation of the home-cage framing."
"Rizzolo2021","room","Quote: ""Male Wistar rats from Janvier Labs were paired housed in standard cages (37 x 22 x 18.5 cm)...""; ""Whatever experimental conditions or groups considered (WN and M), an acoustic baffle adjusted to 70 dB was placed 1 m from the cages...""","2","high","individual animal","Quote: ""The rat was placed in the center area facing an open arm"" (EPM); ""Each animal was placed in the starting arm"" (Y-maze) - explicit individual testing.","2","high","individuals analyzed as independent units","Quote: ""data were analyzed with nonparametric tests... Kruskal-Wallis followed by Mann-Whitney test or nonparametric two-way ANalysis Of VAriance (ANOVA) on repeated measurements""; M n=13, WN n=14, no cage term for the acoustic-exposure grouping (though age was treated as a repeated factor for the same animals).","2,4","high","2 (""paired housed in standard cages"")","not explicitly stated (n=13-14/group at 2/cage implies ~6-7 cages per condition)","room","not explicitly stated whether M and WN groups were housed in physically separate rooms or the same room; one acoustic baffle served ""the cages"" of a condition","not stated - unclear","no - Quote: ""Behavioral tests were performed during the light phase in which no M or WN was played.""","Rats pair-housed (2/cage) from 14 to 23 months of age; music (M) or white noise (WN) delivered via a single acoustic baffle placed 1m from ""the cages"" of a condition, 6h/day 3x/week during the dark phase; behavioral testing conducted during the light phase with no sound playing.","2","potential cage-level and room-level pseudoreplication","Rats were housed 2/cage and a single acoustic baffle delivered sound to multiple cages of a given condition simultaneously, yet nonparametric group comparisons (Kruskal-Wallis/Mann-Whitney, n=13-14 per condition) treated individual rats as independent without any cage or room-level term.","2","holds","The paper explicitly states behavioral testing occurred ""in which no M or WN was played"", confirming exposure was restricted to the home-cage/room housing period and was not concurrent with testing, consistent with the hypothesis."
"Saghari2021","unclear","Quote: ""Rats in music groups were exposed to 12 h daily Mozart's piano sonata K.448 music for seven days, starting from 7:00 to 17:00.""; no detail is given on speaker placement, room, or cage arrangement during this exposure.","2","low","individual animal","Quote: ""each animal was gently placed in a brightly lit compartment"" (passive avoidance test); ""animals were inadvertently released into one of the quadrants"" (MWM) - standard individual testing.","2-3","medium","individuals analyzed as independent units","Quote: ""The effect of music on spatial learning rates... was evaluated by repeated measure two-way ANOVA followed by a Tukey's post hoc test... Data obtained in MWM probe trials, open field, and passive avoidance test were analyzed by a one-way ANOVA""; groups of n=7 per subtest, no cage term.","2","medium","not stated - unclear","not stated - unclear","not stated - unclear (cage or room)","not stated - unclear","not stated - unclear","unclear - the paper does not clearly state whether the 12h/day music exposure period overlapped with the behavioral testing window (9:00 AM-2:00 PM) or whether testing occurred fully outside the exposure hours.","Rats (n=14/group: control, PTSD, music, PTSD+music, each split into subgroups of 7) exposed to 12h/day Mozart K.448 for 7 days (7:00-17:00); behavioral tests conducted between 9:00 AM and 2:00 PM, which falls within the stated 7:00-17:00 music window, but housing/delivery details are not described.","2","unclear","Housing density, cage occupancy, and sound delivery mechanism (per-cage vs per-room) are not reported, so no confident pseudoreplication judgment can be made despite individual-animal statistics (one-way/two-way ANOVA, n=7 per subtest).","2-3","unclear","Insufficient methodological detail (no housing description, ambiguous overlap between the 7:00-17:00 music window and the 9:00 AM-2:00 PM testing window) prevents a confident determination of whether this study follows the home-cage/non-concurrent-testing pattern."
"Sampaio2017","room","Quote: ""The sound device was placed approximately 50 cm from the rats' cages... To ensure equal sound intensity for the rats, the sound intensity was measured on the sides of each cage. The sound device was placed between two shelves as an additional strategy to ensure sound balance.""","3","high","individual animal","Quote: ""Each animal was placed in the central quadrant of the arena"" (locomotor test); ""Each rat was positioned at the center of the maze"" (EPM) - explicit individual testing.","3","high","unclear (repeated-measures design not clearly modeled)","Quote: ""A statistical analysis was performed using three-way analysis of variance (ANOVA) with the independent variables age, gender, and treatment (music therapy)""; the same 10 male and 10 female rats were each tested both without music (""control"") and after music therapy at 4 successive ages, i.e., a within-subject repeated design, but the paper does not specify a repeated-measures ANOVA model or otherwise state how repeated observations per animal were handled.","4","medium","not stated - unclear","not stated - unclear","room","not applicable/unclear - within-subject design; same colony room used with premusic (""control"") vs postmusic evaluations of the same animals rather than separate rooms","not stated - unclear","no - testing described as occurring as pre- and post-music therapy evaluations at each age (i.e., ""an evaluation without music therapy (control), and a reevaluation after music therapy""), implying testing followed each 4-day music block rather than overlapping with it.","10 male and 10 female Wistar rats tested repeatedly at 1, 2, 3, and 4 months of age; Mozart's Sonata played via one sound device positioned ~50cm from ""the rats' cages"" with intensity balanced across cages, 4h/day for 4 days at each age; behavioral testing conducted before and after each music block.","3","potential room-level pseudoreplication","A single sound device delivered music to multiple cages within one room, and the same 20 animals were repeatedly measured across ages/treatments; the three-way ANOVA described does not clearly specify a repeated-measures structure, raising the possibility that within-subject correlation and/or cage/room-level clustering were not fully accounted for.","3","holds","Music was delivered as a room-level, colony-wide exposure during a discrete housing period (4h/day for 4 days) rather than during testing itself, and testing occurred as a separate pre/post evaluation, consistent with the home-cage/room, non-concurrent-testing part of the hypothesis."
"Terzioglu2020","cage","Quote (translated methods): ""pregnant female rats were randomly divided into four cages; the control group (no music exposure)... classical music group... traditional Sufi music group... rock music group.""; ""Dams (n=12) and pups (n=34) in each music groups listened to their own music 1 hour/day from gestational day 10 to postnatal day 21.""","2","high","individual animal","Quote: ""rat was placed to the bar from their tail by adhesive tape"" (tail suspension test) - explicit individual testing of offspring at 30 days old.","2-3","high","individuals analyzed as independent units","Quote: ""Statistical differences for immobility time in tail suspension test, levels of both hormone and oxidative stress among groups were analyzed by One-Way ANOVA""; F-statistics (e.g., F(3:45)) indicate offspring/pups analyzed individually, with no dam, litter, or cage term despite each condition sharing a single cage.","3","high","multiple dams (3-4) and their litters housed together in ONE shared cage per music condition (""divided into four cages""; control: 3 dams + 12 pups in one cage; each music group: 4 dams + pups in one cage)","1 cage per condition (4 total cages for the entire study: control, classical, sufi, rock)","cage (the entire condition's dams and offspring shared a single cage, so cage-level and condition-level exposure are conflated)","yes - each condition (including control) had its own single dedicated cage","not stated - unclear","no - exposure occurred prenatally/postnatally (GD10-PND21) whereas tail suspension testing and blood/tissue collection occurred at 30 days old, 9 days after exposure ended, with no indication of concurrent sound during testing.","Extremely unusual housing: 3-4 pregnant/lactating dams and their combined litters were housed together in a SINGLE shared cage per music condition (4 cages total for the whole study), each cage receiving its assigned music/silence 1h/day from GD10 to PND21; offspring behaviorally tested individually at PND30, well after music exposure ended.","2","potential cage-level pseudoreplication (severe)","This is a particularly severe case: an entire experimental condition's dams (n=3-4) and their pooled litters (yielding n=34 pups across 3 music conditions, ~12 in the control) were housed in a single shared cage, so cage and condition are fully confounded (no replicate cages within any condition), yet the one-way ANOVA treated individual pups as independent statistical units with no litter, dam, or cage term.","2-3","holds","Exposure occurred during the prenatal/early postnatal home-cage period (GD10-PND21) and testing occurred at PND30, well after exposure ended, consistent with the non-concurrent, home-cage part of the hypothesis; however, this study's single-cage-per-condition design represents the most severe pseudoreplication risk identified in this audit, independent of the concurrent-testing question."
