file_path,category,what_it_does,evidence_type
CRIMEQ/notebooklm_workflow/,CRIME-Q extraction workflow (source-document side),"NotebookLM-based extraction workflow: prompts, calibration rules, and the study manifest (all_studies_manifest.md) organizing the 20 included studies into 4 batches of 5 for prompted extraction.",Directly supported by codebase
CRIMEQ/independent_screening/pdf_text/*.json (.txt),Extracted primary-study full text,"Page-numbered OCR/text extraction of all 20 included primary papers, used as the source of truth for the primary-study exposure-unit / pseudoreplication audit in this response (see reviewer_audit_exposure_unit.csv).",Directly supported by primary paper (extracted text)
CRIMEQ/independent_screening/reviewer_audit_exposure_unit.csv,NEW - primary-study exposure/pseudoreplication audit (this audit),"Per-study classification of music-exposure unit, behavioural measurement unit, statistical unit, housing/exposure structure, and a conservative pseudoreplication flag, with quotes/page numbers/confidence, produced for this reviewer-response audit.",Newly created for this audit
CRIMEQ/independent_screening/reviewer_audit_codebook_prisma.md,NEW - codebook/PRISMA/typo/strain-model trace (this audit),Supporting trace document produced for this audit: locates the authoritative codebook sheet and C_n/Ex_n definition; reconstructs what PRISMA screening counts are/are not recoverable from this repository; searches for the 'retrival' typo; and confirms exactly how Strain enters the rma.mv() model code.,Newly created for this audit
build_gold_standard.py,CRIME-Q workflow script,Builds/reconciles the CRIME-Q gold-standard assessment workbook from independent screening inputs.,Directly supported by codebase
make_gold_excel.py,CRIME-Q workflow script,Exports the gold-standard CRIME-Q ratings to an Excel workbook.,Directly supported by codebase
score_notebooklm.py,CRIME-Q workflow script,Scores NotebookLM-based extraction/screening output against the gold standard for agreement checking.,Directly supported by codebase
PRISMA-EcoEvo_WordChecklist.docx,PRISMA-EcoEvo compliance checklist (repo root; untracked/gitignored on disk),Completed PRISMA-EcoEvo reporting checklist confirming *that* screening-flow numbers and a PRISMA-style flowchart are reported in the manuscript's own supplementary material - it does not itself contain those counts and the manuscript supplement is not present in this repository.,Directly supported by primary document (present on disk, not in git)
PRISMAEcoEvo.pdf,PRISMA-EcoEvo guideline reference (repo root; untracked/gitignored on disk),"Reference copy of the published PRISMA-EcoEvo guideline paper (O'Dea et al.), not a record of this review's own screening numbers.",Directly supported by primary document (present on disk, not in git)
docs/,Rendered Quarto book output,"Rendered HTML output of book/*.qmd (output-dir: ../docs in _quarto.yml). docs/overall_effect.html and docs/uni_moderators.html were used to confirm rendered orchaRd::i2_ml() variance-component values (incl. the near-zero Strain component) since multi_moderator.html was not found rendered.",Directly supported by codebase (rendered output)
